actor_id,type,actor_id_type,new_actor_type,old_actor_type,actor_name,actor,actor_detail,abbreviation,short_actor_name,country_based,iso3c,iso3n,gwn,gwc,cowc,cown,region,ucdp_id,in_ucdp,acled_name,acled_other,alternative_names,additional_info,hyperlink
94,CON,CON_94,Country/State,Country/State,Ghana,Ghana,,GHA,GHA,Ghana,GHA,288.0,452.0,GHA,GHA,452.0,Africa,81.0,Government of Ghana,Government of Ghana (2017-),Government of Ghana (2017-),Ghana | GHANA | Ghana | Ghana Honourable | Ghana V. INTERNATIONAL PARTNERS | Republic Ghana | Republic GHANA | Republic of Ghana,Ghana is a Country/State in Africa. ,
95,NGO,NGO_95,Non-governmental Organization,Religious Body,Community of Sant’Egidio,Community of Sant’Egidio,,,Community of Sant’Egidio,internationally,,,,,,,,,,,,community of sant egidio | Community of Sant'Egidio | Matteo Zuppi | Andrea Riccardi | Sant'Egidio | Paolo Impagliazzo,,
97,CON,CON_97,Country/State,Country/State,Mozambique,Mozambique,,MZM,MZM,Mozambique,MOZ,508.0,541.0,MZM,MZM,541.0,Africa,100.0,Government of Mozambique,Government of Mozambique (1990-),Government of Mozambique (1990-),Mozambique | MOZAMBIQUE | People Republic Mozambique | Republic Mozambique | Republic Mozambique Current | GRM | Government of the Republic of Mozambique,Mozambique is a Country/State in Africa. ,
98,ARM,ARM_98,Armed Organization,Armed Group,RENAMO,RENAMO,,,RENAMO,Mozambique,MOZ,508.0,541.0,MZM,MZM,541.0,Africa,498.0,Renamo,RENAMO: Mozambican National Resistance,,,"RENAMO  are an Armed Organization, based in Mozambique. ",
139,CON,CON_139,Country/State,Country/State,Italy,Italy,,ITA,ITA,Italy,ITA,380.0,325.0,ITA,ITA,325.0,Europe,44.0,Government of Italy,Government of Italy (2018-),Government of Italy (2018-),Italy/Sardinia | ITALY | Italy | ITALY | Republic Italy | Italy | Government Italian Public | Government Italy | Italian Government  Signing | Italian Republic,Italy is a Country/State in Europe. ,
142,CON,CON_142,Country/State,Country/State,Niger,Niger,,NIR,NIR,Niger,NER,562.0,436.0,NIR,NIR,436.0,Africa,75.0,Government of Niger,Government of Niger (2021-),Government of Niger (2011-2021) | Government of Niger (2021-),"Niger | NIGER | Niger | Niger  Yahaya Assoumane | Republic Niger | Republic NIGER | Republic Niger ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ | Republic Niger Excellency Olusegun OBASANJO | Republic Niger MaÃƒÆ’Ã‚Â¯ MaÃƒÆ’Ã‚Â¯ Gana | Republic Niger Mr MAÃƒÆ’Ã‚Â MAÃƒÆ’Ã‚Â | Republic Niger , Current | Republic Niger ISSOFOU OUBANDAWAKI | Republic Niger  Excellency Olusegun OBASANJO",Niger is a Country/State in Africa. ,
146,CON,CON_146,Country/State,Country/State,Nepal,Nepal,,NEP,NEP,Nepal,NPL,524.0,790.0,NEP,NEP,790.0,Asia,146.0,Government of Nepal,Government of Nepal (2015-),Government of Nepal (2008-2015) | Government of Nepal (2015-),"Nepal | NEPAL | Nepal | Nepal | Government Nepal | Government Nepal , Coordinator : | Government Nepal : Coordinator : | Government Nepal Negotiating Team | Nepali Congress",Nepal is a Country/State in Asia. ,
156,ARM,ARM_156,Armed Organization,Armed Group,Sudan Liberation Movement/Army,Sudan Liberation Movement/Army,,SLM/A,SLM/A,Sudan,SDN,736.0,625.0,SUD,SUD,625.0,Africa,469.0,SLM/A,SSLM/A: South Sudan Liberation Movement/Army,,Sudan Liberation Army | Sudan Liberation Movement / Army | Sudan Liberation Movement / Army Minni Arko Minawi | Sudan Liberation Movement / Army ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Transitional Council Dr. | Sudan Liberation Movement / Sudan Liberation Army | SLA / MM | Sudan Liberation Army,"Sudan Liberation Movement/Army (SLM/A) are an Armed Organization, based in Sudan. ",
157,CON,CON_157,Country/State,Country/State,Chad,Chad,,CHA,CHA,Chad,TCD,148.0,483.0,CHA,CHA,483.0,Africa,87.0,Government of Chad,Government of Chad (2021-),Government of Chad (1990-2021) | Government of Chad (2021-),Chad | CHAD | Chad | Republic Chad | Republic Chad  - Moussa Faki MAHAMAT | RÃƒÂ©publique du Tchad,Chad is a Country/State in Africa. ,
158,CON,CON_158,Country/State,Country/State,Sudan,Sudan,,SUD,SUD,Sudan,SDN,736.0,625.0,SUD,SUD,625.0,Africa,112.0,Government of Sudan,Government of Sudan (2019-),Government of Sudan (1989-2019) | Government of Sudan (2019-),Sudan | SUDAN | Republic Sudan | Republic SUDAN | Republic Sudan H.E. P | Sudan | Sudan : Lino Roll Deng | Sudan | Government Republic Sudan | Sudan Government | SUDAN GOVERNMENT | Sudan Government Delegation | Sudanese Government | Republic Sudan  H.E. P | Transitional Government Negotiation Delegation,Sudan is a Country/State in Africa. ,
159,CON,CON_159,Country/State,Country/State,Ethiopia,Ethiopia,,ETH,ETH,Ethiopia,ETH,231.0,530.0,ETH,ETH,530.0,Africa,97.0,Government of Ethiopia,Government of Ethiopia (2018-),Government of Ethiopia (1991-2018) | Government of Ethiopia (2018-),Ethiopia | ETHIOPIA | Democratic Republic Ethiopia | Ethiopia | ETHIOPIA | ETHIOPIAN | Ethopia | Federal Democratic Republic Ethiopia  - Representing Facilitator | Republic Ethiopia | Ethiopia | Ethiopian Government | Federal Democratic Republic Ethiopia | FEDERAL DEMOCRATIC REPUBLIC ETHIOPIA | FDRE,Ethiopia is a Country/State in Africa. ,
160,CON,CON_160,Country/State,Country/State,Philippines,Philippines,,PHI,PHI,Philippines,PHL,608.0,840.0,PHI,PHI,840.0,Asia,154.0,Government of Philippines,Government of the Philippines (2016-),Government of the Philippines (2010-2016) | Government of the Philippines (2016-),Philippines | PHILIPPINES | Philippines | GOVERNMENT REPUBLIC PHILIPPINES | Government Republic Philippines | Government Republic Philippines Mohagher Iqbal | PHILIPPINES | GRP Panel Chair | GRP Panel Executive | GRP Panel Peace Talks | GRP Panelen ATTY | GRP Peace Panel | GRP Representative | GRP SCCH Chairman | GRP Secretariat Victor I. Erfe | GRP Sub - Committee Cessation Hostilities | GRP Sub - Committee Cessation Hostilities ( CCCH | GRP Sub - Committee Cessation Hostilities Chairperson | GRP Technical Comittee Chairperson | GRP Technical Committee | GRP Technical Committee Acting Chairperson | GRP Technical Committee Chairperson | GRP Technical Working Group | House Representatives GRP | GPH | Government Philippines - Coordinating Committee | GPH - CCCH,Philippines is a Country/State in Asia. ,
162,CON,CON_162,Country/State,Country/State,Indonesia,Indonesia,,INS,INS,Indonesia,IDN,360.0,850.0,INS,INS,850.0,Asia,155.0,Government of Indonesia,Government of Indonesia (2014-),Government of Indonesia (2014-),Indonesia | INDONESIA | Indonesia | Republic Indonesia | Republic lndonesia | Indonesia  | Indonesian Government,Indonesia is a Country/State in Asia. ,
169,CON,CON_169,Country/State,Country/State,Ireland,Ireland,,IRE,IRE,Ireland,IRL,372.0,205.0,IRE,IRE,205.0,Europe,29.0,Government of Ireland,Government of Ireland (2017-2020),Government of Ireland (2017-2020),Ireland | IRELAND | Ireland | Republic of Ireland | Republic Ireland | Ireland | Irish Government | Irish Governments | Republic Ireland Government | Taoiseach,Ireland is a Country/State in Europe. ,
170,ENT,ENT_170,Entity,Entity,Northern Ireland,Northern Ireland,,,Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,826.0,200.0,UKG,UKG,200.0,,,,,,,"Northern Ireland is an entity, based in United Kingdom of Great Britain and Northern Ireland. ",
171,CON,CON_171,Country/State,Country/State,Finland,Finland,,FIN,FIN,Finland,FIN,246.0,375.0,FIN,FIN,375.0,Europe,65.0,Government of Finland,Government of Finland (2019-),Government of Finland (2019-),Finland | FINLAND | Finland | FINLAND | Republic Finland,Finland is a Country/State in Europe. ,
172,CON,CON_172,Country/State,Country/State,Kenya,Kenya,,KEN,KEN,Kenya,KEN,404.0,501.0,KEN,KEN,501.0,Africa,91.0,Government of Kenya,Government of Kenya (2013-),Government of Kenya (2002-2013) | Government of Kenya (2013-),Kenya | KENYA | Kenya | Republic Keny | Republic Kenya | Kenya | Government Republic Kenya | Kenya Government Facilitation Team | KENYAN GOVERNMENT REPRESENTATIVES  1 | Kenyua,Kenya is a Country/State in Africa. ,
173,CON,CON_173,Country/State,Country/State,South Sudan,South Sudan,,SSD,SSD,South Sudan,SSD,728.0,626.0,SSD,SSD,626.0,Africa,113.0,Government of South Sudan,Government of South Sudan (2011-),Government of South Sudan (2011-),South Sudan | SOUTH SUDAN | Republic South Sudan | Republic South Sudan/ | South Sudan | Souther Sudan | Government South Sudan | Southern Sudan | GRSS,South Sudan is a Country/State in Africa. ,
174,CON,CON_174,Country/State,Country/State,Tanzania,Tanzania,,TAZ,TAZ,"Tanzania, United Republic of",TZA,834.0,510.0,TAZ,TAZ,510.0,Africa,92.0,Government of Tanzania,Government of Tanzania (1964-),Government of Tanzania (1964-),"Tanzania/Tanganyika | TANZANIA, UNITED REPUBLIC OF | Republic Tanzania | Tanzania | Tanzanian Republic  - ABDOU DIOUF | United Republic of Tanzania | United Republic Tanzania",Tanzania is a Country/State in Africa. ,
176,CON,CON_176,Country/State,Country/State,Uganda,Uganda,,UGA,UGA,Uganda,UGA,800.0,500.0,UGA,UGA,500.0,Africa,90.0,Government of Uganda,Government of Uganda (1986-),Government of Uganda (1986-),Uganda | UGANDA | Republic Uganda | Republic Uganda  Facilitators/ | Uganda | UGANDA | Uganda National Rescue II | UGANDA NATIONAL RESCUE II | Uganda National Rescue II High Command | Uganda | GOVERNMENT UGANDA | Government Uganda Delegation,Uganda is a Country/State in Africa. ,
177,CON,CON_177,Country/State,Country/State,Chile,Chile,,CHL,CHL,Chile,CHL,152.0,155.0,CHL,CHL,155.0,Americas,25.0,Government of Chile,Government of Chile (2022-),Government of Chile (2018-2022) | Government of Chile (2022-),Chile | CHILE | Chile | CHILE | Republic Chile,Chile is a Country/State in Americas. ,
178,CON,CON_178,Country/State,Country/State,Peru,Peru,,PER,PER,Peru,PER,604.0,135.0,PER,PER,135.0,Americas,21.0,Government of Peru,Government of Peru (2021-),Government of Peru (2020-2020) | Government of Peru (2020-2021) | Government of Peru (2021-) | Government of Peru (2018-2020),Peru | PERU | PERU | Peru | Republic Peru,Peru is a Country/State in Americas. ,
179,CON,CON_179,Country/State,Country/State,Ecuador,Ecuador,,ECU,ECU,Ecuador,ECU,218.0,130.0,ECU,ECU,130.0,Americas,20.0,Government of Ecuador,Government of Ecuador (2021-),Government of Ecuador (2007-2021) | Government of Ecuador (2021-),Ecuador | ECUADOR | ECUADOR | Ecuador | Republic Ecuador,Ecuador is a Country/State in Americas. ,
181,CON,CON_181,Country/State,Country/State,Colombia,Colombia,,COL,COL,Colombia,COL,170.0,100.0,COL,COL,100.0,Americas,17.0,Government of Colombia,Government of Colombia (2018-),Government of Colombia (2018-),Colombia | COLOMBIA | Colombia | Republic Colombia | Colombia | Colombian National Government | National Government Colombia,Colombia is a Country/State in Americas. ,
201,NGO,NGO_201,Non-governmental Organization,NGO,International Committee of the Red Cross,International Committee of the Red Cross,,,International Committee of the Red Cross,internationally,,,,,,,,,,,,ICRC | Red Cross | ICRC ZENICA | C. Von Flue | Ambassador Dirk-Jan Van Houten,,
202,CON,CON_202,Country/State,Country/State,Switzerland,Switzerland,,SWZ,SWZ,Switzerland,CHE,756.0,225.0,SWZ,SWZ,225.0,Europe,34.0,Government of Switzerland,,,Switzerland | SWITZERLAND | Swiss Confederation | SWISS CONFEDERATION | Switzerland | SWITZERLAND,Switzerland is a Country/State in Europe. ,
203,CON,CON_203,Country/State,Country/State,Cuba,Cuba,,CUB,CUB,Cuba,CUB,192.0,40.0,CUB,CUB,40.0,Americas,5.0,Government of Cuba,Government of Cuba (1959-),Government of Cuba (1959-),Cuba | CUBA | CUBA | Cuba | Republic Cuba,Cuba is a Country/State in Americas. ,
221,CON,CON_221,Country/State,Country/State,South Africa,South Africa,,SAF,SAF,South Africa,ZAF,710.0,560.0,SAF,SAF,560.0,Africa,102.0,Government of South Africa,Government of South Africa (1994-),Government of South Africa (1994-),South Africa | SOUTH AFRICA | Republic South Afirca | Republic South Africa | South Africa | SOUTH AFRICA | South Africa | Government Republic South Africa | South African Government & | South African Parliament,South Africa is a Country/State in Africa. ,
226,IGO,IGO_226,Intergovernmental Organization,IGO,Organisation of Islamic Cooperation,Organisation of Islamic Cooperation,,OIC,OIC,,,,,,,,,,,,,Organisation Of Islamic Cooperation || Organization Of Islamic Cooperation || Organization Of The Islamic Conference || OIC || Organisation Of The Islamic Conference |  Organization Of Islamic Cooperation  | Organization Of The Islamic Conference  |  OIC  | Organisation Of The Islamic Conference | Organization of the Islamic Conference (OIC) | Org. Islamic Conference | Organization of the Islamic Conference (OIC) | Organization of the Islamic Conference | Org. of the Islamic Conference | OCI | Organization of the Islamic Conference | Organisation de la coopÃ©ration islamique | Ù…Ù†Ø¸Ù…Ø© Ø§Ù„ØªØ¹Ø§ÙˆÙ† Ø§Ù„Ø¥Ø³Ù„Ø§Ù…ÙŠ |  l'Organisations de la CoopÃ©ration Islamique | l'OCC | the Organization of the Islamic Conference | Organisation Islamic Cooperation,"Organisation of Islamic Cooperation (OIC) is an IGO, with affiliations to Global Diplomatic IGOs (International Government Organizations). They are also referred to as Organisation Of Islamic Cooperation || Organization Of Islamic Cooperation || Organization Of The Islamic Conference || OIC || Organisation Of The Islamic Conference",
228,CON,CON_228,Country/State,Country/State,Morocco,Morocco,,MOR,MOR,Morocco,MAR,504.0,600.0,MOR,MOR,600.0,Africa,108.0,Government of Morocco,Government of Morocco (1999-),Government of Morocco (1999-),Morocco | MOROCCO | Kingdom Morocco | Morocco &,Morocco is a Country/State in Africa. ,
246,POL,POL_246,Political Party,Political Party,FUNCINPEC,FUNCINPEC,,,FUNCINPEC,Cambodia,KHM,116.0,811.0,CAM,CAM,811.0,Asia,,,,,"National United Front for an Independent, Neutral, Peaceful and Cooperative Cambodia","FUNCINPEC  is a Political Party, based in Cambodia. ",
247,CON,CON_247,Country/State,Country/State,Cambodia,Cambodia,,CAM,CAM,Cambodia,KHM,116.0,811.0,CAM,CAM,811.0,Asia,148.0,Government of Cambodia (Kampuchea),Government of Cambodia (1993-),Government of Cambodia (1993-),Cambodia (Kampuchea) | CAMBODIA | Cambodia | Kingdom of Cambodia | Kingdom Cambodia,Cambodia is a Country/State in Asia. ,
248,CON,CON_248,Country/State,Country/State,Djibouti,Djibouti,,DJI,DJI,Djibouti,DJI,262.0,522.0,DJI,DJI,522.0,Africa,96.0,Government of Djibouti,Government of Djibouti (1999-),Government of Djibouti (1999-),Djibouti | DJIBOUTI | Djibouti | Djibouti & FRUD ] | Republic Diijbouti | Republic Djibouti,Djibouti is a Country/State in Africa. ,
255,CON,CON_255,Country/State,Country/State,Algeria,Algeria,,ALG,ALG,Algeria,DZA,12.0,615.0,ALG,ALG,615.0,Africa,109.0,Government of Algeria,Government of Algeria (2019-),Government of Algeria (1999-2019) | Government of Algeria (2019-),Algeria | ALGERIA | People's Democratic Republic Algeria | People's Democratic Republic Algeria  ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ | People's Democratic Republic Algeria :  ( Signed ) Ramtane Lamamra | People's Democratic Republic of Algeria | Democratic and Popular Republic of Algeria | RÃƒÂ©publique AlgÃƒÂ©rinne DÃƒÂ©mocratique et Populaire | People Ã¢â‚¬â„¢s Democratic Republic Algeria | Popular Republic Algeria | People Ã¢â‚¬â„¢s Democratic Republic Algeria | People Ã¢â‚¬â„¢s Democratic Republic Algeria  Ã¢â‚¬Â¢ | People Ã¢â‚¬â„¢s Democratic Republic Algeria :  ( Signed ) Ramtane Lamamra,Algeria is a Country/State in Africa. ,
259,CON,CON_259,Country/State,Country/State,Portugal,Portugal,,POR,POR,Portugal,PRT,620.0,235.0,POR,POR,235.0,Europe,36.0,Government of Portugal,Government of Portugal (2015-),Government of Portugal (2015-),Portugal | PORTUGAL | Portugal | PORTUGAL | Portuguese Republic | Portugal | Portuguese Government,Portugal is a Country/State in Europe. ,
260,CON,CON_260,Country/State,Country/State,Angola,Angola,,ANG,ANG,Angola,AGO,24.0,540.0,ANG,ANG,540.0,Africa,99.0,Government of Angola,Government of Angola (1975-),Government of Angola (1975-),Angola | ANGOLA | Angol | Angola | Republic Angola | International Relations Republic Angola,Angola is a Country/State in Africa. ,
264,CON,CON_264,Country/State,Country/State,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",,DRC,DRC,"Congo, Democratic Republic of the",COD,180.0,490.0,DRC,DRC,490.0,Africa,89.0,Government of DR Congo (Zaire),Government of the Democratic Republic of Congo (2019-),Government of the Democratic Republic of Congo (1997-2001) | Government of the Democratic Republic of Congo (2001-2019) | Government of the Democratic Republic of Congo (2019-),"Congo, Democratic Republic of (Zaire) | CONGO, THE DEMOCRATIC REPUBLIC OF | Democratic Republic | Democratic Republic Congo | Republic Democratic Republic Congo","Congo, Democratic Republic of the is a Country/State in Africa. ",
267,CON,CON_267,Country/State,Country/State,Botswana,Botswana,,BOT,BOT,Botswana,BWA,72.0,571.0,BOT,BOT,571.0,Africa,105.0,Government of Botswana,,,Botswana | BOTSWANA,Botswana is a Country/State in Africa. ,
268,CON,CON_268,Country/State,Country/State,Mexico,Mexico,,MEX,MEX,Mexico,MEX,484.0,70.0,MEX,MEX,70.0,Americas,10.0,Government of Mexico,Government of Mexico (2018-),Government of Mexico (2018-),Mexico | MEXICO | MEXICO | Mexico | United Mexican States | Mexico | Mexican Foreign Ministry | Mexican Government,Mexico is a Country/State in Americas. ,
276,CON,CON_276,Country/State,Country/State,New Zealand,New Zealand,,NEW,NEW,New Zealand,NZL,554.0,920.0,NEW,NEW,920.0,Oceania,158.0,Government of New Zealand,Government of New Zealand (2017-),Government of New Zealand (2017-),New Zealand | NEW ZEALAND | New Zealand | NEW ZEALAND,New Zealand is a Country/State in Oceania. ,
277,CON,CON_277,Country/State,Country/State,Australia,Australia,,AUL,AUL,Australia,AUS,36.0,900.0,AUL,AUL,900.0,Oceania,156.0,Government of Australia,Government of Australia (2013-),Government of Australia (2013-),Australia | AUSTRALIA | Australia |  Commonwealth of Australia,Australia is a Country/State in Oceania. ,
283,ARM,ARM_283,Armed Organization,Political Party/Armed Group,Sudan People's Liberation Movement/Army ,Sudan People's Liberation Movement/Army ,,SPLM/A,SPLM/A,Sudan,SDN,736.0,625.0,SUD,SUD,625.0,Africa,466.0,SPLM/A,SPLM/A: Sudan People's Liberation Movement/Army,,Sudan People ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Liberation Movement | Sudan People Liberation Army | Sudan People Liberation Movement | Sudan People Liberation Movement / Army | Sudan People Liberation Movement / Army - North | Sudan People Liberation Movement / Sudan People Liberation Army | Sudan People Liberation Movement/ Army | Sudan Peoples ' Liberation Movement Ross Mountain United Nations | Sudan Peoples Liberation Movement | SPLM - Detainees | SPLM - FDs | SPLM - IG | SPLM - United | SPLM / | SPLM / - N | SPLM / NUBA | SPLM / SPLA | SPLM County,"Sudan People's Liberation Movement/Army  (SPLM/A) are an Armed Organization, based in Sudan. ",
285,CON,CON_285,Country/State,Country/State,Libya,Libya,,LIB,LIB,Libya,LBY,434.0,620.0,LIB,LIB,620.0,Africa,111.0,Government of Libya,Government of Libya (2012-2014),Government of Libya (1969-2011) | Government of Libya (2011-2012) | Government of Libya (2012-2014) | Government of Libya (2014-) General National Congress | Government of Libya (2014-) House of Representatives | Government of Libya (2016-2021) Government of National Accord | Government of Libya (2021-) Government of National Unity | Government of Libya (2022-) Parliament-Appointed Government,Libya | LIBYAN ARAB JAMAHIRIYA | Libya | Libyan Arab Jamahiriya | Great Socialist People's Libyan Arab Jamahiriya,Libya is a Country/State in Africa. ,
287,CON,CON_287,Country/State,Country/State,Bangladesh,Bangladesh,,BNG,BNG,Bangladesh,BGD,50.0,771.0,BNG,BNG,771.0,Asia,143.0,Government of Bangladesh,Government of Bangladesh (2009-),Government of Bangladesh (2009-),Bangladesh | BANGLADESH | People's Republic Bangladesh | Peoples  Republic Bangladesh  SD/- | People's Republic of Bangladesh | People Ã¢â‚¬â„¢s Republic Bangladesh,Bangladesh is a Country/State in Asia. ,
288,CON,CON_288,Country/State,Country/State,Afghanistan,Afghanistan,,AFG,AFG,Afghanistan,AFG,4.0,700.0,AFG,AFG,700.0,Asia,130.0,Government of Afghanistan,Government of Afghanistan (2021-),Government of Afghanistan (2014-2021) | Government of Afghanistan (2021-),Afghanistan | AFGHANISTAN | Islamic Republic of Afghanistan | Islamic Republic Afghanistan | Islamic Republic Afghanistan | Afghan Government | Afghan Government | Afghan Interim Administration,Afghanistan is a Country/State in Asia. ,
289,CON,CON_289,Country/State,Country/State,Iran (Islamic Republic of),Iran (Islamic Republic of),,IRN,IRN,Iran (Islamic Republic of),IRN,364.0,630.0,IRN,IRN,630.0,Asia,114.0,Government of Iran,Government of Iran (1989-),Government of Iran (1989-),"Iran (Persia) | IRAN, ISLAMIC REPUBLIC OF | Iran | Islamic Republic Iran",Iran (Islamic Republic of) is a Country/State in Asia. ,
290,CON,CON_290,Country/State,Country/State,Cameroon,Cameroon,,CAO,CAO,Cameroon,CMR,120.0,471.0,CAO,CAO,471.0,Africa,83.0,Government of Cameroon,Government of Cameroon (1982-),Government of Cameroon (1982-),Cameroon | CAMEROON | Cameroon | Republic Cameroon | Republic Cameroon :,Cameroon is a Country/State in Africa. ,
292,CON,CON_292,Country/State,Country/State,Brunei,Brunei,,BRU,BRU,Brunei Darussalam,BRN,96.0,835.0,BRU,BRU,835.0,Asia,,,Government of Brunei (1984-),Government of Brunei (1984-),Brunei | BRUNEI DARUSSALAM,Brunei is a Country/State in Asia. ,
293,ARM,ARM_293,Armed Organization,Armed Group,Khmer People’s National Liberation Front,Khmer People’s National Liberation Front,,KPNLF,KPNLF,Cambodia,KHM,116.0,811.0,CAM,CAM,811.0,Asia,272.0,KPNLF,,,,"Khmer People’s National Liberation Front (KPNLF) are an Armed Organization, based in Cambodia. ",
294,CON,CON_294,Country/State,Country/State,Japan,Japan,,JPN,JPN,Japan,JPN,392.0,740.0,JPN,JPN,740.0,Asia,140.0,Government of Japan,Government of Japan (2012-),Government of Japan (2012-),Japan | JAPAN | JAPAN,Japan is a Country/State in Asia. ,
295,CON,CON_295,Country/State,Country/State,Thailand,Thailand,,THI,THI,Thailand,THA,764.0,800.0,THI,THI,800.0,Asia,147.0,Government of Thailand,Government of Thailand (2019-),Government of Thailand (2008-2011) | Government of Thailand (2014-2019) | Government of Thailand (2019-),Thailand | THAILAND | Kingdom Thailand | Thailand,Thailand is a Country/State in Asia. ,
296,CON,CON_296,Country/State,Country/State,Singapore,Singapore,,SIN,SIN,Singapore,SGP,702.0,830.0,SIN,SIN,830.0,Asia,153.0,Government of Singapore,Government of Singapore (1965-),Government of Singapore (1965-),Singapore | SINGAPORE | Republic Singapore | Singapore | Republic of Singapore,Singapore is a Country/State in Asia. ,
297,CON,CON_297,Country/State,Country/State,Vietnam,Vietnam,,RVN,RVN,Viet Nam,VNM,704.0,817.0,RVN,RVN,816.0,Asia,150.0,Government of Vietnam (North Vietnam),Government of Vietnam (1976-),Government of Vietnam (1976-),"Vietnam, Republic of | VIETNAM | Socialist Republic of Vietnam | Socialist Republic Viet Nam | Socialist Republic Vietnam | Socialist Republic of Vietnam",Vietnam is a Country/State in Asia. ,
298,CON,CON_298,Country/State,Country/State,Laos,Laos,,LAO,LAO,Lao People's Democratic Republic,LAO,418.0,812.0,LAO,LAO,812.0,Asia,149.0,Government of Laos,Government of Laos (1991-),Government of Laos (1991-),Laos | LAO PEOPLE'S DEMOCRATIC REPUBLIC,Laos is a Country/State in Asia. ,
300,CON,CON_300,Country/State,Country/State,El Salvador,El Salvador,,SAL,SAL,El Salvador,SLV,222.0,92.0,SAL,SAL,92.0,Americas,13.0,Government of El Salvador,Government of El Salvador (2019-),Government of El Salvador (2019-),El Salvador | EL SALVADOR | El Salvador | El Salvadort | Republic El Salvador,El Salvador is a Country/State in Americas. ,
301,CON,CON_301,Country/State,Country/State,Sri Lanka,Sri Lanka,,SRI,SRI,Sri Lanka,LKA,144.0,780.0,SRI,SRI,780.0,Asia,145.0,Government of Sri Lanka,Government of Sri Lanka (2015-2019),Government of Sri Lanka (2015-2019),Sri Lanka (Ceylon) | SRI LANKA | Sri Lanka | Sri Lanka | Government Sri Lanka | Sri Lankan Government,Sri Lanka is a Country/State in Asia. ,
305,POL,POL_305,Political Party,Political Party,Democratic Kampuchea,Democratic Kampuchea,,,Democratic Kampuchea,Cambodia,KHM,116.0,811.0,CAM,CAM,811.0,Asia,,,,,Khmer Rouge,"Democratic Kampuchea  is a Political Party, based in Cambodia. ",
312,IGO,IGO_312,Intergovernmental Organization,IGO,Intergovernmental Authority on Development,Intergovernmental Authority on Development,,IGAD,IGAD,,,,,,,,,,,,,"Intergovernmental Authority On Development || IGAD || Inter-Governmental Authority On Development | Intergovernmental Authority on Development | IGAD | IGAD - South Sudan Office Representative Facilitator | IGAD & AU | IGAD African Union | IGAD Assembly | IGAD Chair | IGAD Council Ministers | IGAD Council Ministers H.E. Tedros Adhanom | IGAD Envoys | IGAD Ministerial Sub - Committee | IGAD Partners | IGAD Partners Forum | IGAD Partners Forum Representatives | IGAD Special | IGAD Special Envoy Somalia | IGAD Special Envoys | IGAD Sub - Committee | Intergovernmental Authority Development | Intergovernmental Authority Development ( IGAD ) | Special Envoy IGAD Sudan | IGAD Partners Forum | IPF  | Chair IGAD | Chair IGAD  Republic Uganda  Republic Sudan  Republic Djibouti  Republic Somalia  Republic Kenya  B | Chairperson IGAD | Intergovernmental Authority On Development  |  IGAD  |  Inter-Governmental Authority On Development | Inter - Governmental Authority Development , League Arab States | Intergovernmental Authority Development | Intergovernmental Authority Development ( IGAD ) | Intergovernmental Authority on Development (IGAD)/Inter-Governmental Authority o | Inter-Gov Authority on Drought Protection | Intergovernmental Authority on Development (IGAD)/Inter-Governmental Authority o | Chairperson IGAD | IGAD | IGAD - South Sudan Office Representative Facilitator | IGAD Council Ministers | IGAD Partners | IGAD Partners Forum | IGAD Partners Forum Representatives | Inter - Governmental Authority Development , League Arab States","Intergovernmental Authority on Development (IGAD) is an IGO, with affiliations to Regional Development IGOs (International Government Organizations). They are also referred to as Intergovernmental Authority On Development || IGAD || Inter-Governmental Authority On Development",
313,ARM,ARM_313,Armed Organization,Armed Group,Republika Srpska,Republika Srpska,,,Republika Srpska,Bosnia and Herzegovina,BIH,70.0,346.0,BOS,BOS,346.0,Europe,,,,, ARMED FORCES SFRY | Socialist Federal Republic of Yugoslavia Armed Forces | Army Republika Srpska | Army of Republika Srpska,"Republika Srpska  are an Armed Organization, based in Bosnia and Herzegovina. ",
316,CON,CON_316,Country/State,Country/State,Venezuela,Venezuela,,VEN,VEN,Venezuela (Bolivarian Republic of),VEN,862.0,101.0,VEN,VEN,101.0,Americas,18.0,Government of Venezuela,Government of Venezuela (1999-),Government of Venezuela (1999-) | Government of Venezuela (2019-) Transitional Government,"Venezuela | VENEZUELA, BOLIVARIAN REPUBLIC OF | VENEZUELA | Venezuela | Bolivarian Republic Venezuela",Venezuela is a Country/State in Americas. ,
339,CON,CON_339,Country/State,Country/State,Rwanda,Rwanda,,RWA,RWA,Rwanda,RWA,646.0,517.0,RWA,RWA,517.0,Africa,94.0,Government of Rwanda,Government of Rwanda (1994-),Government of Rwanda (1994-),Rwanda | RWANDA | Republic Rawanda | Republic Rwanda | Rwanda | Rwanda | Government Republic Rwanda,Rwanda is a Country/State in Africa. ,
346,IGO,IGO_346,Intergovernmental Organization,IGO,League of Arab States,League of Arab States,,LOAS,LOAS,,,,,,,,,,,,,League Of Arab States || Arab League | League of Arab States | League of Arab States | League Arab States | League Arab States,The League of Arab States is an IGO with affiliations to Regional Diplomatic IGOs (International Government Organizations). ,
